,name,city,country,code_iata,code_icao,latitude,longitude,altitude,tz,dst,tz_region
7675,Fajardo,Fajardo,Puerto Rico,,\N,18.32,-65.65,0,-4.0,U,America/Puerto_Rico
7676,Billings field,Essex,Canada,,\N,42.199,-82.465,650,-5.0,U,America/Toronto
7677,Hiberico Offshore Platform,Cuidad del Carmen,Mexico,,\N,19.398611,-92.016111,0,-6.0,A,\N
7678,Alpha offshore platform,Cork,Ireland,,\N,51.400377,-7.901464,0,0.0,E,\N
7679,Peterhof Helicopter Landing area,Saint-Petersburg,Russia,,\N,59.890529,29.894609,0,4.0,U,Europe/Moscow
7680,Gogland Helicopter Landing,Gogland Island,Russia,,\N,60.011662,27.008236,0,4.0,U,\N
7681,New Carrollton Rail Station,New Carrollton,United States,ZRZ,\N,38.948,-76.8719,39,-5.0,A,America/New_York
7682,Ship Channel Cay,Ship Channel Cay,Bahamas,,\N,24.819302,-76.824331,0,-5.0,A,America/Nassau
7683,Walkersville Train Depot,Walkersville,United States,,\N,39.4861833333,-77.35475,308,-5.0,A,America/New_York
7684,Seattle Pier 69 - Victoria Clipper,Seattle,United States,,\N,47.613801,-122.354019,7,-8.0,A,America/Los_Angeles
7685,Dinwiddie County Airport,Petersburg,United States,PTB,KPTB,37.18375,-77.507388,193,-5.0,A,America/New_York
7686,Mount Aso helipad,Aso,Japan,,\N,32.884308,131.064638,1350,9.0,N,Asia/Tokyo
7687,Mount Aso helipad,Aso,Japan,,\N,32.884308,131.064638,1350,9.0,N,Asia/Tokyo
7688,Kasongo Lunda,Kasongo,Congo (Kinshasa),KGN,FZOK,-6.583333,16.816668,0,1.0,U,Africa/Kinshasa
7689,McMurdo Station Pegasus Field,McMurdo Station,Antarctica,,NZPG,-77.963333,166.524444,18,12.0,Z,Antarctica/South_Pole
7690,Klatovy,Klatovy,Czech Republic,,LKKT,49.418327,13.321944,1299,1.0,E,Europe/Prague
7691,Sheboygan County Memorial Airport,Sheboygan,United States,SBM,KSBM,43.7696,-87.851402,755,-6.0,A,America/Chicago
